item_id,store_id,total_days,zero_days,zero_percentage
HOBBIES_1_125,TX_3,1913,1885,98.54
HOBBIES_1_274,CA_4,1913,1885,98.54
HOBBIES_2_064,CA_4,1913,1885,98.54
HOBBIES_2_138,CA_4,1913,1885,98.54
HOUSEHOLD_1_423,TX_1,1913,1885,98.54
HOUSEHOLD_2_101,TX_1,1913,1885,98.54
HOUSEHOLD_2_161,WI_2,1913,1885,98.54
FOODS_3_180,TX_1,1913,1884,98.48
HOBBIES_2_110,WI_2,1913,1884,98.48
HOBBIES_2_143,CA_4,1913,1884,98.48
FOODS_1_079,CA_3,1913,1883,98.43
FOODS_1_079,TX_1,1913,1883,98.43
FOODS_2_254,CA_2,1913,1883,98.43
FOODS_3_171,TX_3,1913,1883,98.43
FOODS_3_260,TX_3,1913,1883,98.43
HOBBIES_1_052,CA_2,1913,1883,98.43
HOBBIES_1_412,CA_4,1913,1883,98.43
HOBBIES_2_056,TX_3,1913,1883,98.43
HOBBIES_2_065,CA_4,1913,1883,98.43
HOUSEHOLD_2_120,WI_2,1913,1883,98.43
HOUSEHOLD_2_216,WI_2,1913,1883,98.43
HOUSEHOLD_2_396,WI_3,1913,1883,98.43
HOUSEHOLD_2_414,WI_3,1913,1883,98.43
FOODS_3_171,TX_1,1913,1882,98.38
FOODS_3_602,CA_4,1913,1882,98.38
HOBBIES_1_389,WI_2,1913,1882,98.38
HOBBIES_2_027,WI_3,1913,1882,98.38
HOUSEHOLD_2_094,CA_4,1913,1882,98.38
HOUSEHOLD_2_278,CA_4,1913,1882,98.38
HOUSEHOLD_2_358,TX_1,1913,1882,98.38
FOODS_1_148,WI_3,1913,1881,98.33
HOBBIES_1_052,CA_3,1913,1881,98.33
HOBBIES_2_005,CA_4,1913,1881,98.33
HOBBIES_2_035,CA_4,1913,1881,98.33
HOBBIES_2_082,TX_1,1913,1881,98.33
HOUSEHOLD_1_407,CA_3,1913,1881,98.33
HOUSEHOLD_2_020,WI_3,1913,1881,98.33
HOUSEHOLD_2_080,WI_3,1913,1881,98.33
HOUSEHOLD_2_360,WI_2,1913,1881,98.33
HOUSEHOLD_2_397,CA_3,1913,1881,98.33
FOODS_2_379,TX_1,1913,1880,98.27
FOODS_3_827,CA_4,1913,1880,98.27
HOBBIES_2_132,CA_4,1913,1880,98.27
HOUSEHOLD_2_245,TX_1,1913,1880,98.27
HOUSEHOLD_2_381,WI_2,1913,1880,98.27
HOUSEHOLD_2_448,CA_4,1913,1880,98.27
FOODS_1_029,CA_4,1913,1879,98.22
FOODS_2_129,CA_2,1913,1879,98.22
FOODS_3_703,CA_3,1913,1879,98.22
HOBBIES_1_066,WI_2,1913,1879,98.22
HOBBIES_1_197,CA_4,1913,1879,98.22
HOBBIES_1_217,TX_3,1913,1879,98.22
HOBBIES_2_070,CA_4,1913,1879,98.22
HOBBIES_2_099,TX_1,1913,1879,98.22
HOBBIES_2_110,CA_4,1913,1879,98.22
HOUSEHOLD_1_180,CA_3,1913,1879,98.22
HOUSEHOLD_1_278,CA_3,1913,1879,98.22
HOUSEHOLD_2_005,WI_1,1913,1879,98.22
HOUSEHOLD_2_077,TX_1,1913,1879,98.22
HOUSEHOLD_2_396,WI_2,1913,1879,98.22
HOUSEHOLD_2_502,WI_2,1913,1879,98.22
FOODS_2_069,TX_3,1913,1878,98.17
FOODS_2_071,CA_4,1913,1878,98.17
FOODS_2_090,CA_2,1913,1878,98.17
HOBBIES_1_003,WI_3,1913,1878,98.17
HOBBIES_1_267,CA_4,1913,1878,98.17
HOBBIES_1_269,TX_3,1913,1878,98.17
HOBBIES_2_023,WI_2,1913,1878,98.17
HOBBIES_2_056,TX_1,1913,1878,98.17
HOBBIES_2_132,TX_2,1913,1878,98.17
HOUSEHOLD_1_216,TX_3,1913,1878,98.17
HOUSEHOLD_1_400,WI_2,1913,1878,98.17
HOUSEHOLD_1_502,CA_4,1913,1878,98.17
HOUSEHOLD_2_101,TX_3,1913,1878,98.17
HOUSEHOLD_2_202,WI_2,1913,1878,98.17
HOUSEHOLD_2_309,CA_4,1913,1878,98.17
HOUSEHOLD_2_331,WI_3,1913,1878,98.17
FOODS_2_158,CA_4,1913,1877,98.12
FOODS_3_472,TX_3,1913,1877,98.12
HOBBIES_1_056,CA_4,1913,1877,98.12
HOBBIES_2_010,CA_4,1913,1877,98.12
HOBBIES_2_014,CA_4,1913,1877,98.12
HOBBIES_2_047,CA_4,1913,1877,98.12
HOBBIES_2_082,CA_4,1913,1877,98.12
HOUSEHOLD_2_307,TX_1,1913,1877,98.12
HOUSEHOLD_2_330,TX_1,1913,1877,98.12
FOODS_2_192,TX_1,1913,1876,98.07
FOODS_2_195,CA_2,1913,1876,98.07
FOODS_3_125,WI_3,1913,1876,98.07
FOODS_3_654,CA_4,1913,1876,98.07
HOBBIES_1_336,WI_1,1913,1876,98.07
HOBBIES_1_389,WI_3,1913,1876,98.07
HOBBIES_2_012,WI_1,1913,1876,98.07
HOBBIES_2_015,WI_3,1913,1876,98.07
HOBBIES_2_023,TX_1,1913,1876,98.07
HOBBIES_2_027,CA_3,1913,1876,98.07
HOBBIES_2_097,CA_3,1913,1876,98.07
HOUSEHOLD_1_378,CA_4,1913,1876,98.07
HOUSEHOLD_1_415,CA_2,1913,1876,98.07
HOUSEHOLD_2_419,CA_4,1913,1876,98.07
HOUSEHOLD_2_459,WI_2,1913,1876,98.07
HOUSEHOLD_2_459,WI_3,1913,1876,98.07
HOUSEHOLD_2_463,WI_2,1913,1876,98.07
FOODS_2_256,CA_2,1913,1875,98.01
FOODS_3_220,WI_3,1913,1875,98.01
HOBBIES_1_054,WI_3,1913,1875,98.01
HOBBIES_2_021,CA_4,1913,1875,98.01
HOBBIES_2_084,TX_1,1913,1875,98.01
HOBBIES_2_084,WI_3,1913,1875,98.01
HOUSEHOLD_1_032,CA_3,1913,1875,98.01
HOUSEHOLD_1_405,CA_3,1913,1875,98.01
HOUSEHOLD_1_518,CA_2,1913,1875,98.01
HOUSEHOLD_2_005,WI_2,1913,1875,98.01
HOUSEHOLD_2_175,WI_2,1913,1875,98.01
HOUSEHOLD_2_230,CA_4,1913,1875,98.01
HOUSEHOLD_2_314,WI_3,1913,1875,98.01
HOUSEHOLD_2_334,TX_2,1913,1875,98.01
FOODS_2_096,CA_2,1913,1874,97.96
FOODS_2_256,CA_4,1913,1874,97.96
FOODS_3_350,CA_1,1913,1874,97.96
FOODS_3_472,WI_3,1913,1874,97.96
HOBBIES_1_186,TX_1,1913,1874,97.96
HOBBIES_2_040,CA_4,1913,1874,97.96
HOBBIES_2_111,CA_3,1913,1874,97.96
HOUSEHOLD_2_057,WI_3,1913,1874,97.96
HOUSEHOLD_2_101,WI_3,1913,1874,97.96
HOUSEHOLD_2_381,TX_1,1913,1874,97.96
HOUSEHOLD_2_448,WI_2,1913,1874,97.96
FOODS_2_073,TX_1,1913,1873,97.91
HOBBIES_2_015,CA_4,1913,1873,97.91
HOBBIES_2_018,TX_1,1913,1873,97.91
HOBBIES_2_023,CA_3,1913,1873,97.91
HOBBIES_2_026,CA_4,1913,1873,97.91
HOBBIES_2_055,CA_4,1913,1873,97.91
HOBBIES_2_077,TX_1,1913,1873,97.91
HOBBIES_2_086,CA_4,1913,1873,97.91
HOBBIES_2_099,CA_4,1913,1873,97.91
HOUSEHOLD_2_101,TX_2,1913,1873,97.91
HOUSEHOLD_2_130,WI_3,1913,1873,97.91
HOUSEHOLD_2_161,WI_3,1913,1873,97.91
HOUSEHOLD_2_162,TX_3,1913,1873,97.91
HOUSEHOLD_2_245,TX_3,1913,1873,97.91
HOUSEHOLD_2_365,WI_3,1913,1873,97.91
FOODS_2_117,TX_2,1913,1872,97.86
FOODS_3_171,CA_2,1913,1872,97.86
HOBBIES_1_265,CA_4,1913,1872,97.86
HOBBIES_1_419,CA_4,1913,1872,97.86
HOBBIES_2_047,TX_1,1913,1872,97.86
HOBBIES_2_084,TX_3,1913,1872,97.86
HOBBIES_2_106,WI_3,1913,1872,97.86
HOBBIES_2_119,CA_4,1913,1872,97.86
HOBBIES_2_119,TX_1,1913,1872,97.86
HOBBIES_2_132,WI_2,1913,1872,97.86
HOUSEHOLD_2_060,CA_4,1913,1872,97.86
HOUSEHOLD_2_130,WI_1,1913,1872,97.86
HOUSEHOLD_2_186,CA_4,1913,1872,97.86
HOUSEHOLD_2_331,WI_2,1913,1872,97.86
HOUSEHOLD_2_396,CA_2,1913,1872,97.86
FOODS_2_006,CA_2,1913,1871,97.8
FOODS_2_287,TX_3,1913,1871,97.8
FOODS_3_171,TX_2,1913,1871,97.8
FOODS_3_296,CA_1,1913,1871,97.8
FOODS_3_514,WI_3,1913,1871,97.8
FOODS_3_693,TX_3,1913,1871,97.8
HOBBIES_2_077,WI_1,1913,1871,97.8
HOBBIES_2_132,WI_3,1913,1871,97.8
HOUSEHOLD_1_020,TX_1,1913,1871,97.8
HOUSEHOLD_1_378,TX_2,1913,1871,97.8
HOUSEHOLD_2_065,WI_2,1913,1871,97.8
HOUSEHOLD_2_101,WI_1,1913,1871,97.8
HOUSEHOLD_2_151,WI_2,1913,1871,97.8
FOODS_2_281,CA_2,1913,1870,97.75
FOODS_2_300,CA_2,1913,1870,97.75
FOODS_3_260,TX_1,1913,1870,97.75
HOBBIES_1_045,WI_2,1913,1870,97.75
HOBBIES_1_062,TX_1,1913,1870,97.75
HOBBIES_1_170,TX_1,1913,1870,97.75
HOBBIES_2_073,CA_4,1913,1870,97.75
HOBBIES_2_077,CA_4,1913,1870,97.75
HOBBIES_2_087,CA_4,1913,1870,97.75
HOBBIES_2_119,WI_3,1913,1870,97.75
HOUSEHOLD_1_116,CA_4,1913,1870,97.75
HOUSEHOLD_1_402,TX_3,1913,1870,97.75
HOUSEHOLD_2_149,WI_2,1913,1870,97.75
HOUSEHOLD_2_186,TX_3,1913,1870,97.75
HOUSEHOLD_2_202,WI_3,1913,1870,97.75
HOUSEHOLD_2_216,WI_1,1913,1870,97.75
FOODS_2_073,CA_2,1913,1869,97.7
FOODS_2_073,TX_3,1913,1869,97.7
FOODS_2_341,CA_2,1913,1869,97.7
FOODS_2_362,CA_4,1913,1869,97.7
FOODS_3_349,CA_4,1913,1869,97.7
HOBBIES_1_052,CA_4,1913,1869,97.7
HOBBIES_1_053,CA_4,1913,1869,97.7
HOBBIES_1_181,WI_2,1913,1869,97.7
HOBBIES_2_077,TX_3,1913,1869,97.7
HOBBIES_2_144,CA_4,1913,1869,97.7
HOUSEHOLD_1_020,WI_2,1913,1869,97.7
HOUSEHOLD_2_106,WI_2,1913,1869,97.7
HOUSEHOLD_2_120,TX_1,1913,1869,97.7
HOUSEHOLD_2_397,TX_2,1913,1869,97.7
FOODS_2_071,TX_2,1913,1868,97.65
FOODS_3_338,TX_1,1913,1868,97.65
FOODS_3_595,CA_1,1913,1868,97.65
FOODS_3_647,CA_2,1913,1868,97.65
HOBBIES_1_062,WI_3,1913,1868,97.65
HOBBIES_1_325,TX_1,1913,1868,97.65
HOBBIES_2_015,CA_1,1913,1868,97.65
HOBBIES_2_031,CA_4,1913,1868,97.65
HOBBIES_2_031,TX_2,1913,1868,97.65
HOBBIES_2_035,WI_2,1913,1868,97.65
HOBBIES_2_037,CA_4,1913,1868,97.65
HOBBIES_2_082,WI_1,1913,1868,97.65
HOBBIES_2_097,CA_4,1913,1868,97.65
HOUSEHOLD_1_423,TX_2,1913,1868,97.65
HOUSEHOLD_2_026,WI_2,1913,1868,97.65
HOUSEHOLD_2_073,TX_3,1913,1868,97.65
HOUSEHOLD_2_073,WI_3,1913,1868,97.65
HOUSEHOLD_2_077,TX_3,1913,1868,97.65
HOUSEHOLD_2_147,CA_4,1913,1868,97.65
HOUSEHOLD_2_157,WI_1,1913,1868,97.65
HOUSEHOLD_2_397,WI_1,1913,1868,97.65
HOUSEHOLD_2_412,WI_2,1913,1868,97.65
HOUSEHOLD_2_429,WI_2,1913,1868,97.65
HOUSEHOLD_2_504,CA_4,1913,1868,97.65
FOODS_2_107,TX_3,1913,1867,97.6
FOODS_2_136,CA_4,1913,1867,97.6
FOODS_3_088,TX_2,1913,1867,97.6
FOODS_3_595,CA_3,1913,1867,97.6
FOODS_3_602,CA_2,1913,1867,97.6
HOBBIES_1_053,WI_1,1913,1867,97.6
HOBBIES_1_389,WI_1,1913,1867,97.6
HOBBIES_2_023,TX_3,1913,1867,97.6
HOBBIES_2_080,CA_4,1913,1867,97.6
HOBBIES_2_111,TX_2,1913,1867,97.6
HOUSEHOLD_1_300,CA_2,1913,1867,97.6
HOUSEHOLD_2_077,WI_2,1913,1867,97.6
HOUSEHOLD_2_134,TX_1,1913,1867,97.6
HOUSEHOLD_2_396,CA_4,1913,1867,97.6
HOUSEHOLD_2_448,TX_1,1913,1867,97.6
HOUSEHOLD_2_456,WI_2,1913,1867,97.6
FOODS_1_022,WI_3,1913,1866,97.54
FOODS_2_209,CA_1,1913,1866,97.54
FOODS_3_296,CA_4,1913,1866,97.54
FOODS_3_296,WI_3,1913,1866,97.54
HOBBIES_1_045,TX_1,1913,1866,97.54
HOBBIES_1_192,TX_3,1913,1866,97.54
HOBBIES_1_212,TX_1,1913,1866,97.54
HOBBIES_2_012,CA_4,1913,1866,97.54
HOBBIES_2_031,WI_3,1913,1866,97.54
HOBBIES_2_090,TX_1,1913,1866,97.54
HOUSEHOLD_2_005,CA_4,1913,1866,97.54
HOUSEHOLD_2_169,WI_3,1913,1866,97.54
HOUSEHOLD_2_306,CA_4,1913,1866,97.54
HOUSEHOLD_2_469,WI_2,1913,1866,97.54
FOODS_1_079,TX_2,1913,1865,97.49
FOODS_2_136,CA_2,1913,1865,97.49
FOODS_2_379,CA_2,1913,1865,97.49
FOODS_2_379,TX_2,1913,1865,97.49
FOODS_2_395,CA_2,1913,1865,97.49
HOBBIES_1_188,CA_4,1913,1865,97.49
HOBBIES_2_025,WI_3,1913,1865,97.49
HOBBIES_2_065,WI_2,1913,1865,97.49
HOUSEHOLD_1_300,CA_1,1913,1865,97.49
HOUSEHOLD_1_314,CA_4,1913,1865,97.49
HOUSEHOLD_1_523,CA_4,1913,1865,97.49
HOUSEHOLD_2_077,WI_3,1913,1865,97.49
HOUSEHOLD_2_085,WI_2,1913,1865,97.49
HOUSEHOLD_2_130,TX_1,1913,1865,97.49
HOUSEHOLD_2_153,WI_2,1913,1865,97.49
HOUSEHOLD_2_318,WI_3,1913,1865,97.49
HOUSEHOLD_2_469,TX_1,1913,1865,97.49
FOODS_2_252,WI_3,1913,1864,97.44
FOODS_3_472,TX_1,1913,1864,97.44
FOODS_3_510,CA_2,1913,1864,97.44
FOODS_3_659,TX_1,1913,1864,97.44
HOBBIES_1_052,WI_3,1913,1864,97.44
HOBBIES_1_125,WI_3,1913,1864,97.44
HOBBIES_1_186,TX_3,1913,1864,97.44
HOBBIES_1_212,WI_3,1913,1864,97.44
HOBBIES_1_229,WI_3,1913,1864,97.44
HOBBIES_1_389,TX_3,1913,1864,97.44
HOUSEHOLD_1_264,WI_3,1913,1864,97.44
HOUSEHOLD_1_523,WI_1,1913,1864,97.44
HOUSEHOLD_2_014,WI_2,1913,1864,97.44
HOUSEHOLD_2_023,WI_1,1913,1864,97.44
HOUSEHOLD_2_057,TX_1,1913,1864,97.44
HOUSEHOLD_2_057,TX_2,1913,1864,97.44
HOUSEHOLD_2_073,WI_2,1913,1864,97.44
HOUSEHOLD_2_077,CA_3,1913,1864,97.44
HOUSEHOLD_2_120,CA_4,1913,1864,97.44
HOUSEHOLD_2_147,WI_2,1913,1864,97.44
HOUSEHOLD_2_175,TX_1,1913,1864,97.44
HOUSEHOLD_2_186,TX_1,1913,1864,97.44
HOUSEHOLD_2_230,CA_1,1913,1864,97.44
HOUSEHOLD_2_313,WI_3,1913,1864,97.44
HOUSEHOLD_2_397,WI_2,1913,1864,97.44
FOODS_1_111,TX_3,1913,1863,97.39
FOODS_2_045,CA_2,1913,1863,97.39
FOODS_2_071,WI_2,1913,1863,97.39
FOODS_2_090,WI_1,1913,1863,97.39
FOODS_2_200,CA_2,1913,1863,97.39
HOBBIES_1_045,WI_3,1913,1863,97.39
HOBBIES_1_360,CA_4,1913,1863,97.39
HOBBIES_2_057,TX_1,1913,1863,97.39
HOBBIES_2_067,WI_2,1913,1863,97.39
HOBBIES_2_127,CA_4,1913,1863,97.39
HOUSEHOLD_1_332,WI_3,1913,1863,97.39
HOUSEHOLD_2_134,TX_3,1913,1863,97.39
HOUSEHOLD_2_245,CA_1,1913,1863,97.39
HOUSEHOLD_2_245,TX_2,1913,1863,97.39
HOUSEHOLD_2_307,WI_3,1913,1863,97.39
HOUSEHOLD_2_372,CA_2,1913,1863,97.39
FOODS_2_147,TX_3,1913,1862,97.33
FOODS_3_220,CA_4,1913,1862,97.33
FOODS_3_220,TX_1,1913,1862,97.33
FOODS_3_500,CA_4,1913,1862,97.33
HOBBIES_2_013,TX_1,1913,1862,97.33
HOBBIES_2_047,WI_3,1913,1862,97.33
HOBBIES_2_106,CA_4,1913,1862,97.33
HOUSEHOLD_1_060,WI_3,1913,1862,97.33
HOUSEHOLD_2_040,CA_4,1913,1862,97.33
HOUSEHOLD_2_060,WI_2,1913,1862,97.33
HOUSEHOLD_2_101,CA_4,1913,1862,97.33
HOUSEHOLD_2_175,WI_3,1913,1862,97.33
HOUSEHOLD_2_330,WI_2,1913,1862,97.33
FOODS_2_032,CA_2,1913,1861,97.28
FOODS_2_248,CA_4,1913,1861,97.28
FOODS_2_248,WI_1,1913,1861,97.28
FOODS_3_260,WI_3,1913,1861,97.28
FOODS_3_338,TX_2,1913,1861,97.28
HOBBIES_1_045,TX_3,1913,1861,97.28
HOBBIES_1_112,TX_3,1913,1861,97.28
HOBBIES_2_019,TX_1,1913,1861,97.28
HOUSEHOLD_1_137,WI_1,1913,1861,97.28
HOUSEHOLD_1_274,CA_2,1913,1861,97.28
HOUSEHOLD_1_405,CA_2,1913,1861,97.28
HOUSEHOLD_2_097,TX_1,1913,1861,97.28
HOUSEHOLD_2_097,WI_2,1913,1861,97.28
HOUSEHOLD_2_365,TX_1,1913,1861,97.28
HOUSEHOLD_2_372,TX_1,1913,1861,97.28
HOUSEHOLD_2_396,WI_1,1913,1861,97.28
HOUSEHOLD_2_432,CA_4,1913,1861,97.28
FOODS_2_071,TX_1,1913,1860,97.23
FOODS_2_252,TX_1,1913,1860,97.23
FOODS_2_252,TX_3,1913,1860,97.23
HOBBIES_1_243,CA_4,1913,1860,97.23
HOBBIES_2_015,WI_2,1913,1860,97.23
HOBBIES_2_023,WI_3,1913,1860,97.23
HOBBIES_2_034,CA_4,1913,1860,97.23
HOUSEHOLD_1_036,CA_2,1913,1860,97.23
HOUSEHOLD_1_060,WI_1,1913,1860,97.23
HOUSEHOLD_1_496,CA_4,1913,1860,97.23
HOUSEHOLD_2_040,WI_1,1913,1860,97.23
HOUSEHOLD_2_175,CA_4,1913,1860,97.23
HOUSEHOLD_2_186,WI_2,1913,1860,97.23
HOUSEHOLD_2_210,WI_2,1913,1860,97.23
HOUSEHOLD_2_211,WI_2,1913,1860,97.23
HOUSEHOLD_2_230,WI_2,1913,1860,97.23
HOUSEHOLD_2_397,CA_4,1913,1860,97.23
HOUSEHOLD_2_515,WI_2,1913,1860,97.23
FOODS_2_017,TX_2,1913,1859,97.18
FOODS_2_088,CA_2,1913,1859,97.18
FOODS_3_171,CA_3,1913,1859,97.18
FOODS_3_220,WI_2,1913,1859,97.18
FOODS_3_255,TX_1,1913,1859,97.18
FOODS_3_693,TX_1,1913,1859,97.18
HOBBIES_2_026,TX_1,1913,1859,97.18
HOBBIES_2_026,WI_3,1913,1859,97.18
HOBBIES_2_119,WI_2,1913,1859,97.18
HOUSEHOLD_1_216,TX_1,1913,1859,97.18
HOUSEHOLD_1_300,CA_4,1913,1859,97.18
HOUSEHOLD_2_085,WI_3,1913,1859,97.18
HOUSEHOLD_2_157,WI_2,1913,1859,97.18
HOUSEHOLD_2_216,TX_3,1913,1859,97.18
HOUSEHOLD_2_245,WI_3,1913,1859,97.18
FOODS_1_159,CA_4,1913,1858,97.12
FOODS_2_301,CA_2,1913,1858,97.12
HOBBIES_1_269,TX_1,1913,1858,97.12
HOBBIES_1_283,CA_4,1913,1858,97.12
HOBBIES_2_023,CA_1,1913,1858,97.12
HOUSEHOLD_1_089,CA_3,1913,1858,97.12
HOUSEHOLD_1_311,CA_2,1913,1858,97.12
HOUSEHOLD_1_402,TX_1,1913,1858,97.12
HOUSEHOLD_2_027,CA_4,1913,1858,97.12
HOUSEHOLD_2_101,CA_2,1913,1858,97.12
HOUSEHOLD_2_101,CA_3,1913,1858,97.12
HOUSEHOLD_2_245,WI_2,1913,1858,97.12
FOODS_2_017,WI_3,1913,1857,97.07
FOODS_3_296,TX_2,1913,1857,97.07
FOODS_3_371,WI_3,1913,1857,97.07
FOODS_3_633,TX_3,1913,1857,97.07
HOBBIES_2_015,WI_1,1913,1857,97.07
HOBBIES_2_026,WI_1,1913,1857,97.07
HOBBIES_2_111,WI_3,1913,1857,97.07
HOUSEHOLD_1_208,CA_3,1913,1857,97.07
HOUSEHOLD_1_466,WI_3,1913,1857,97.07
HOUSEHOLD_2_017,TX_1,1913,1857,97.07
HOUSEHOLD_2_017,WI_2,1913,1857,97.07
HOUSEHOLD_2_018,WI_2,1913,1857,97.07
HOUSEHOLD_2_020,TX_3,1913,1857,97.07
HOUSEHOLD_2_060,WI_3,1913,1857,97.07
HOUSEHOLD_2_073,CA_3,1913,1857,97.07
HOUSEHOLD_2_094,WI_2,1913,1857,97.07
HOUSEHOLD_2_194,WI_3,1913,1857,97.07
HOUSEHOLD_2_358,WI_1,1913,1857,97.07
FOODS_2_096,TX_3,1913,1856,97.02
FOODS_2_117,CA_1,1913,1856,97.02
FOODS_2_379,CA_1,1913,1856,97.02
FOODS_3_691,TX_3,1913,1856,97.02
HOBBIES_1_180,WI_3,1913,1856,97.02
HOBBIES_1_181,TX_1,1913,1856,97.02
HOBBIES_2_021,TX_2,1913,1856,97.02
HOBBIES_2_099,WI_1,1913,1856,97.02
HOBBIES_2_119,CA_1,1913,1856,97.02
HOBBIES_2_119,TX_3,1913,1856,97.02
HOBBIES_2_138,TX_1,1913,1856,97.02
HOUSEHOLD_1_261,WI_3,1913,1856,97.02
HOUSEHOLD_1_308,CA_4,1913,1856,97.02
HOUSEHOLD_1_386,WI_1,1913,1856,97.02
HOUSEHOLD_2_057,CA_4,1913,1856,97.02
HOUSEHOLD_2_066,CA_4,1913,1856,97.02
HOUSEHOLD_2_073,TX_1,1913,1856,97.02
HOUSEHOLD_2_077,CA_4,1913,1856,97.02
HOUSEHOLD_2_086,WI_2,1913,1856,97.02
HOUSEHOLD_2_194,CA_4,1913,1856,97.02
HOUSEHOLD_2_216,WI_3,1913,1856,97.02
HOUSEHOLD_2_245,CA_4,1913,1856,97.02
HOUSEHOLD_2_263,WI_1,1913,1856,97.02
HOUSEHOLD_2_291,WI_2,1913,1856,97.02
HOUSEHOLD_2_392,CA_4,1913,1856,97.02
HOUSEHOLD_2_419,WI_2,1913,1856,97.02
FOODS_2_160,CA_2,1913,1855,96.97
FOODS_2_226,CA_2,1913,1855,96.97
FOODS_3_088,TX_1,1913,1855,96.97
FOODS_3_451,WI_2,1913,1855,96.97
FOODS_3_472,WI_2,1913,1855,96.97
HOBBIES_1_065,WI_3,1913,1855,96.97
HOBBIES_2_012,WI_3,1913,1855,96.97
HOBBIES_2_038,TX_1,1913,1855,96.97
HOBBIES_2_049,CA_4,1913,1855,96.97
HOBBIES_2_082,WI_2,1913,1855,96.97
HOBBIES_2_094,CA_4,1913,1855,96.97
HOBBIES_2_101,CA_4,1913,1855,96.97
HOBBIES_2_132,TX_1,1913,1855,96.97
HOUSEHOLD_1_159,CA_4,1913,1855,96.97
HOUSEHOLD_1_260,CA_4,1913,1855,96.97
HOUSEHOLD_1_378,TX_1,1913,1855,96.97
HOUSEHOLD_2_020,TX_2,1913,1855,96.97
HOUSEHOLD_2_130,CA_4,1913,1855,96.97
HOUSEHOLD_2_204,TX_3,1913,1855,96.97
HOUSEHOLD_2_352,WI_2,1913,1855,96.97
HOUSEHOLD_2_359,WI_3,1913,1855,96.97
HOUSEHOLD_2_463,TX_1,1913,1855,96.97
FOODS_1_079,CA_1,1913,1854,96.92
FOODS_2_007,CA_2,1913,1854,96.92
FOODS_2_073,TX_2,1913,1854,96.92
FOODS_2_296,CA_4,1913,1854,96.92
FOODS_2_395,TX_3,1913,1854,96.92
FOODS_3_088,TX_3,1913,1854,96.92
FOODS_3_296,CA_2,1913,1854,96.92
FOODS_3_350,TX_2,1913,1854,96.92
HOBBIES_1_052,TX_1,1913,1854,96.92
HOBBIES_1_069,TX_3,1913,1854,96.92
HOBBIES_1_142,CA_4,1913,1854,96.92
HOBBIES_1_190,TX_1,1913,1854,96.92
HOBBIES_1_219,CA_4,1913,1854,96.92
HOBBIES_1_392,WI_2,1913,1854,96.92
